airport,timezone,elevation,continent,longitude,latitude
LDZD,Europe/Zagreb,289.0,EU,15.354879,44.094988
OKBK,Asia/Kuwait,206.0,AS,47.968899,29.226601
LTCL,Europe/Istanbul,2001.0,AS,41.84040069580078,37.97890090942383
LGKO,Europe/Athens,412.0,AS,27.09115,36.794523
UBBN,Asia/Baku,2863.0,AS,45.45840072631836,39.18880081176758
OMSJ,Asia/Dubai,111.0,AS,55.5172,25.3286
OPIS,Asia/Karachi,1761.0,AS,72.82566,33.549
ENSB,Arctic/Longyearbyen,88.0,EU,15.465600013733,78.246101379395
HCMM,Africa/Mogadishu,29.0,AF,45.3046989440918,2.014440059661865
LTAY,Europe/Istanbul,2795.0,AS,29.7012996674,37.7855987549
LERS,Europe/Madrid,233.0,EU,1.16717,41.1474
LEGE,Europe/Madrid,468.0,EU,2.761774,41.904639
LDSP,Europe/Zagreb,79.0,EU,16.298,43.538898
GMMX,Africa/Casablanca,1545.0,AF,-8.03629970551,31.6068992615
LGKP,Europe/Athens,66.0,EU,27.146,35.421398
LEMH,Europe/Madrid,302.0,EU,4.21865,39.862598
OOMS,Asia/Muscat,48.0,AS,58.284401,23.5933
FACT,Africa/Johannesburg,151.0,AF,18.6016998291,-33.9648017883
LGKF,Europe/Athens,59.0,EU,20.5004997253418,38.12009811401367
CYVR,America/Vancouver,14.0,,-123.183998108,49.193901062
EDSB,Europe/Berlin,408.0,EU,8.0805,48.7794
EHBK,Europe/Amsterdam,375.0,EU,5.77014,50.911701
LGZA,Europe/Athens,12.0,EU,20.8843,37.7509
LFBT,Europe/Paris,1260.0,EU,-0.006439,43.178699
EGNM,Europe/London,681.0,EU,-1.66057,53.865898
UWKD,Europe/Moscow,411.0,EU,49.278701782227,55.606201171875
OMAA,Asia/Dubai,88.0,AS,54.651718,24.443764
EDDG,Europe/Berlin,160.0,EU,7.68483,52.134602
LTAW,Europe/Istanbul,1859.0,AS,36.39056,40.32472
LEAM,Europe/Madrid,70.0,EU,-2.3701,36.843899
LGMT,Europe/Athens,60.0,EU,26.598887,39.057272
LGSM,Europe/Athens,19.0,EU,26.911699,37.689999
LGKV,Europe/Athens,18.0,EU,24.6192,40.9133
LICA,Europe/Rome,39.0,EU,16.2423,38.905399
OEMA,Asia/Riyadh,2151.0,AS,39.705101,24.5534
LYTV,Europe/Podgorica,20.0,EU,18.72330093383789,42.40470123291016
KFLL,America/New_York,9.0,,-80.152702,26.072599
EGNJ,Europe/London,121.0,EU,-0.350832998752594,53.57440185546875
LEVX,Europe/Madrid,856.0,EU,-8.62677,42.2318
